timestamp,cpu_allocated,memory_allocated,cpu_usage_pct,memory_usage_pct,latency_ms
2025-05-03 15:49:34.233160,1.0,2048.0,0.25,0.0,51.62
2025-05-03 15:50:34.233160,1.0,2047.82,0.25,0.0,83.61
2025-05-03 15:51:34.233160,1.0,2047.64,0.25,0.0,67.56
2025-05-03 15:52:34.233160,1.0,2047.46,0.25,0.0,81.58
2025-05-03 15:53:34.233160,1.0,2047.28,0.25,0.0,75.77
2025-05-03 15:54:34.233160,1.0,2047.1,0.25,0.0,82.72
2025-05-03 15:55:34.233160,1.0,2046.92,0.25,0.0,67.22
2025-05-03 15:56:34.233160,1.0,2046.75,0.25,0.0,77.79
2025-05-03 15:57:34.233160,1.0,2046.57,0.25,0.0,46.09
2025-05-03 15:58:34.233160,1.0,2046.39,0.25,0.0,66.27
2025-05-03 15:59:34.233160,1.0,2046.21,0.25,0.0,67.91
2025-05-03 16:00:34.233160,1.0,2046.03,0.25,0.0,82.61
2025-05-03 16:01:34.233160,1.0,2045.85,0.25,0.0,70.2
2025-05-03 16:02:34.233160,1.0,2045.67,0.25,0.0,85.29
2025-05-03 16:03:34.233160,1.0,2045.49,0.25,0.0,68.43
2025-05-03 16:04:34.233160,1.0,2045.31,0.25,0.0,84.03
2025-05-03 16:05:34.233160,1.0,2045.13,0.25,0.0,80.04
2025-05-03 16:06:34.233160,1.0,2044.95,0.25,0.0,84.24
2025-05-03 16:07:34.233160,1.0,2044.77,0.25,0.0,91.68
2025-05-03 16:08:34.233160,1.0,2044.59,0.25,0.0,78.4
2025-05-03 16:09:34.233160,1.0,2044.42,0.25,0.0,82.88
2025-05-03 16:10:34.233160,1.0,2044.24,0.25,0.0,79.28
2025-05-03 16:11:34.233160,1.0,2044.06,0.25,0.0,79.44
2025-05-03 16:12:34.233160,1.0,2043.88,0.25,0.0,102.23
2025-05-03 16:13:34.233160,1.0,2043.7,0.25,0.0,81.13
2025-05-03 16:14:34.233160,1.0,2043.52,0.25,0.0,82.0
2025-05-03 16:15:34.233160,1.0,2043.34,0.26,0.0,96.09
2025-05-03 16:16:34.233160,1.0,2043.16,0.26,0.0,110.67
2025-05-03 16:17:34.233160,1.0,2042.98,0.26,0.0,79.93
2025-05-03 16:18:34.233160,1.0,2042.8,0.26,0.0,74.12
2025-05-03 16:19:34.233160,1.0,2042.62,0.26,0.0,76.59
2025-05-03 16:20:34.233160,1.0,2042.44,0.26,0.0,87.47
2025-05-03 16:21:34.233160,1.0,2042.27,0.26,0.0,68.23
2025-05-03 16:22:34.233160,1.0,2042.09,0.26,0.0,74.14
2025-05-03 16:23:34.233160,1.0,2041.91,0.26,0.0,82.92
2025-05-03 16:24:34.233160,1.0,2041.73,0.26,0.0,88.59
2025-05-03 16:25:34.233160,1.0,2041.55,0.26,0.0,81.49
2025-05-03 16:26:34.233160,1.0,2041.37,0.26,0.0,88.93
2025-05-03 16:27:34.233160,1.0,2041.19,0.26,0.0,78.02
2025-05-03 16:28:34.233160,1.0,2041.01,0.26,0.0,75.05
2025-05-03 16:29:34.233160,1.0,2040.83,0.26,0.0,82.28
2025-05-03 16:30:34.233160,1.0,2040.65,0.26,0.0,88.54
2025-05-03 16:31:34.233160,1.0,2040.47,0.26,0.0,69.08
2025-05-03 16:32:34.233160,1.0,2040.29,0.26,0.0,56.09
2025-05-03 16:33:34.233160,1.0,2040.11,0.26,0.0,86.27
2025-05-03 16:34:34.233160,1.0,2039.94,0.26,0.0,88.02
2025-05-03 16:35:34.233160,1.0,2039.76,0.26,0.0,85.85
2025-05-03 16:36:34.233160,1.0,2039.58,0.26,0.0,96.35
2025-05-03 16:37:34.233160,1.0,2039.4,0.26,0.0,81.08
2025-05-03 16:38:34.233160,1.0,2039.22,0.26,0.0,86.26
2025-05-03 16:39:34.233160,1.0,2039.04,0.26,0.0,64.32
2025-05-03 16:40:34.233160,1.0,2038.86,0.26,0.0,76.74
2025-05-03 16:41:34.233160,1.0,2038.68,0.26,0.0,75.3
2025-05-03 16:42:34.233160,1.0,2038.5,0.26,0.0,80.41
2025-05-03 16:43:34.233160,1.0,2038.32,0.26,0.0,81.14
2025-05-03 16:44:34.233160,1.0,2038.14,0.26,0.0,82.76
2025-05-03 16:45:34.233160,0.99,2037.96,0.26,0.0,96.94
2025-05-03 16:46:34.233160,0.99,2037.78,0.26,0.0,86.94
2025-05-03 16:47:34.233160,0.99,2037.61,0.27,0.0,88.05
2025-05-03 16:48:34.233160,0.99,2037.43,0.27,0.0,93.09
2025-05-03 16:49:34.233160,0.99,2037.25,0.27,0.0,79.86
2025-05-03 16:50:34.233160,0.99,2037.07,0.27,0.0,61.59
