timestamp,cpu_allocated,memory_allocated,cpu_usage_pct,memory_usage_pct,latency_ms
2025-05-05 02:13:37.453505,1.0,2048.0,0.25,0.0,128.06
2025-05-05 02:14:37.453505,1.0,2047.82,0.25,0.0,120.4
2025-05-05 02:15:37.453505,1.0,2047.64,0.25,0.0,100.65
2025-05-05 02:16:37.453505,1.0,2047.46,0.25,0.0,122.88
2025-05-05 02:17:37.453505,1.0,2047.28,0.25,0.0,107.56
2025-05-05 02:18:37.453505,1.0,2047.1,0.25,0.0,126.09
2025-05-05 02:19:37.453505,1.0,2046.92,0.25,0.0,134.94
2025-05-05 02:20:37.453505,1.0,2046.75,0.25,0.0,116.39
2025-05-05 02:21:37.453505,1.0,2046.57,0.25,0.0,117.93
2025-05-05 02:22:37.453505,1.0,2046.39,0.25,0.0,118.58
2025-05-05 02:23:37.453505,1.0,2046.21,0.25,0.0,83.04
2025-05-05 02:24:37.453505,1.0,2046.03,0.25,0.0,122.65
2025-05-05 02:25:37.453505,1.0,2045.85,0.25,0.0,123.87
2025-05-05 02:26:37.453505,1.0,2045.67,0.25,0.0,115.32
2025-05-05 02:27:37.453505,1.0,2045.49,0.25,0.0,136.11
2025-05-05 02:28:37.453505,1.0,2045.31,0.25,0.0,99.2
2025-05-05 02:29:37.453505,1.0,2045.13,0.25,0.0,116.71
2025-05-05 02:30:37.453505,1.0,2044.95,0.25,0.0,137.2
2025-05-05 02:31:37.453505,1.0,2044.77,0.25,0.0,117.2
2025-05-05 02:32:37.453505,1.0,2044.59,0.25,0.0,99.93
2025-05-05 02:33:37.453505,1.0,2044.42,0.25,0.0,95.04
2025-05-05 02:34:37.453505,1.0,2044.24,0.25,0.0,152.94
2025-05-05 02:35:37.453505,1.0,2044.06,0.25,0.0,128.39
2025-05-05 02:36:37.453505,1.0,2043.88,0.25,0.0,123.71
2025-05-05 02:37:37.453505,1.0,2043.7,0.25,0.0,134.06
2025-05-05 02:38:37.453505,1.0,2043.52,0.25,0.0,122.63
2025-05-05 02:39:37.453505,1.0,2043.34,0.26,0.0,84.37
2025-05-05 02:40:37.453505,1.0,2043.16,0.26,0.0,102.58
2025-05-05 02:41:37.453505,1.0,2042.98,0.26,0.0,133.79
2025-05-05 02:42:37.453505,1.0,2042.8,0.26,0.0,111.11
2025-05-05 02:43:37.453505,1.0,2042.62,0.26,0.0,135.77
2025-05-05 02:44:37.453505,1.0,2042.44,0.26,0.0,99.67
2025-05-05 02:45:37.453505,1.0,2042.27,0.26,0.0,117.27
2025-05-05 02:46:37.453505,1.0,2042.09,0.26,0.0,144.57
2025-05-05 02:47:37.453505,1.0,2041.91,0.26,0.0,125.04
2025-05-05 02:48:37.453505,1.0,2041.73,0.26,0.0,127.72
2025-05-05 02:49:37.453505,1.0,2041.55,0.26,0.0,113.49
2025-05-05 02:50:37.453505,1.0,2041.37,0.26,0.0,107.84
2025-05-05 02:51:37.453505,1.0,2041.19,0.26,0.0,103.58
2025-05-05 02:52:37.453505,1.0,2041.01,0.26,0.0,116.61
2025-05-05 02:53:37.453505,1.0,2040.83,0.26,0.0,111.85
2025-05-05 02:54:37.453505,1.0,2040.65,0.26,0.0,62.53
2025-05-05 02:55:37.453505,1.0,2040.47,0.26,0.0,114.32
2025-05-05 02:56:37.453505,1.0,2040.29,0.26,0.0,152.19
2025-05-05 02:57:37.453505,1.0,2040.11,0.26,0.0,115.76
2025-05-05 02:58:37.453505,1.0,2039.94,0.26,0.0,143.07
2025-05-05 02:59:37.453505,1.0,2039.76,0.26,0.0,134.67
2025-05-05 03:00:37.453505,1.0,2039.58,0.26,0.0,136.52
2025-05-05 03:01:37.453505,1.0,2039.4,0.26,0.0,113.25
2025-05-05 03:02:37.453505,1.0,2039.22,0.26,0.0,113.55
2025-05-05 03:03:37.453505,1.0,2039.04,0.26,0.0,132.83
2025-05-05 03:04:37.453505,1.0,2038.86,0.26,0.0,88.47
2025-05-05 03:05:37.453505,1.0,2038.68,0.26,0.0,136.17
2025-05-05 03:06:37.453505,1.0,2038.5,0.26,0.0,121.03
2025-05-05 03:07:37.453505,1.0,2038.32,0.26,0.0,82.77
2025-05-05 03:08:37.453505,1.0,2038.14,0.26,0.0,116.83
2025-05-05 03:09:37.453505,0.99,2037.96,0.26,0.0,140.41
2025-05-05 03:10:37.453505,0.99,2037.78,0.26,0.0,127.73
2025-05-05 03:11:37.453505,0.99,2037.61,0.27,0.0,119.62
2025-05-05 03:12:37.453505,0.99,2037.43,0.27,0.0,156.64
2025-05-05 03:13:37.453505,0.99,2037.25,0.27,0.0,124.51
2025-05-05 03:14:37.453505,0.99,2037.07,0.27,0.0,134.07
2025-05-05 03:15:37.453505,0.99,2036.89,0.27,0.0,113.15
2025-05-05 03:16:37.453505,0.99,2036.71,0.27,0.0,149.88
2025-05-05 03:17:37.453505,0.99,2036.53,0.27,0.0,118.48
2025-05-05 03:18:37.453505,0.99,2036.35,0.27,0.0,161.56
2025-05-05 03:19:37.453505,0.99,2036.17,0.27,0.0,130.92
2025-05-05 03:20:37.453505,0.99,2035.99,0.27,0.0,161.58
2025-05-05 03:21:37.453505,0.99,2035.81,0.27,0.0,126.94
2025-05-05 03:22:37.453505,0.99,2035.63,0.27,0.0,127.54
2025-05-05 03:23:37.453505,0.99,2035.45,0.27,0.0,138.64
2025-05-05 03:24:37.453505,0.99,2035.28,0.27,0.0,132.88
2025-05-05 03:25:37.453505,0.99,2035.1,0.27,0.0,107.42
2025-05-05 03:26:37.453505,0.99,2034.92,0.27,0.0,136.25
2025-05-05 03:27:37.453505,0.99,2034.74,0.27,0.0,131.66
2025-05-05 03:28:37.453505,0.99,2034.56,0.27,0.0,120.4
2025-05-05 03:29:37.453505,0.99,2034.38,0.27,0.0,122.43
